,cos_tr,cos_te,c,parsed_body_ans
180,,,,please i have used the code in the code file below the video but the problem still persist. 
181,,,,"please note that the plot() function simply plots two vectors against each other. like plot(c(1:4),c(1,4,9,16)). in your case, it seems you wish to draw a barplot. for this, please type the commands as given below:barplot(captaincy$played, names.arg = captaincy$names)"
182,,,,"in dwsim 5.7 for entering composition there is separate tab in ""input data"" as ""compound amounts"". apply button is located on the right side of the composition table in this tab."
183,,,,please install the package available in this link in order to resolve this issue:link to package
184,,,,
185,,,,       please follow the steps below to change the display to wireframe.  1. right-click anywhere on the jmol panel. a pop-up menu opens.  2. select style>>scheme>>wireframe
186,,,,no its ending section.what is a problem?
187,,,,"//program to check a is greater than b or less than b//#include<stdio.h>void main(){int a, b;printf (""enter the value of a and b"") ;scanf (""%d%d"", &a, &b) ;if(a>b) {printf (""a is greater than b) ;}else{printf (""a is less than b"") ;}getch () ;}          output is as follows           a=10           b=7           a is greater than b"
188,,,,"press ctrl and h keys simultaneously, it will give you a global label. it can also be accessed from the right hand toolbar of the schematic editor"
189,,,,please see the documentation here https://ipython.org/install.html
190,,,,"please provide details on what you have tried. what errors you faced, in case of errors please paste the error reports here or in an image and provide link to the imageyou can try using anaconda python environment https://docs.anaconda.com/anaconda/install/"
191,,,,you need to add a new user and grant privileges only on database you wish to:http://wiki.phpmyadmin.net/pma/user_management
192,,,,please refer to the tutorial introduction to data frames in r for getting insights on data frames. 
193,,,,"hi,it is not possible to change the email id with which you registered on spoken tutorial website. that email is reserved now and is your unique identifier."
194,,,,"openfoam only allows computations in a 3d geometry. therefore, we create a 3d geometry for this 2d problem. the simulation, however, is made 2d by considering only one cell across the z direction to make the simulation 2d in xy-plane. the same has been explained later in the tutorial.regards,ashley"
195,,,,"it's not an error, just a warning.if you want to remove that as well then type,y2=2.*x.^2;"
196,,,,"we are unable to understand this. please do not send everything, only send an error message."
197,,,,"frontaccounting  erp is a free, downloadable web-based  accounting system designed for small and medium businesses. the software allows users to manage their accounts online whether it be for purchase orders, accounts payable, sales orders, deposits, customer invoices or credit notes. the software is a multi-user system, supports various languages, can handle a number of currencies, and subscription for remote accessibility is low-cost for open source accounting. it comes with flexible tax configuration tools and works with all banking & general ledger entries as well as generating financial reports. the erp chain has written in php, using mysql. yes it is used for commercial purpose and accepted in the accountant circle."
198,,,,when you type ipython --pylab you get all the functions preloaded in the ipython terminal.in case of modules i.e. the python script you need to import the functions beacuse unlike ipython the module file does no load the modules automatically.if you still do not want to import and run the code then type1. ipython --pylab in the windows command prompt/linux terminal.2. %run -i filename.py inside ipython terminal.this won't throw any error even if you use just pi or plot because the modules are already loaded in the ipython terminal.but if you try to run the file as python filename.py then it will throw error saying function not found etc. in order to avoid errors you need to import the functions before the code.
199,,,,thank you sir
200,,,,"yes, you can replace with any reasonable numbers that can get you the results.just to clarify, - 5 is the start value, 5 is the end value and 100 is the number of points to be generated between start and end "
201,,,,can you suggest or tell me about some case studies? it will be highly appreciated.
202,,,,which version of esim are you using? 1.1.2 or 2.0 ?
203,,,,if u want to use command line over ui u need to drop the mysql bin folder to the cmd after typing cd command then mysql bin folder or in linux just first start the mysql serviceby service nysql start command and then mysql-u root -p password -l localhost command to use mysql server
204,,,,"dear user,are you using anaconda package for windows?"
205,,,,please check the below tutorial for the same.https://spoken-tutorial.org/watch/frontaccounting-2.4.7/setup+in+frontaccounting/english/
